"location","source","target"
"pretix/control/templates/pretixcontrol/auth/register.html:7","Create a new account","Neuen Benutzer erstellen"
"pretix/control/templates/pretixcontrol/base.html:87","Toggle navigation","Navigation umschalten"
"pretix/control/templates/pretixcontrol/base.html:102 pretix/control/templates/pretixcontrol/base.html:129","Go to Shop","Shop ansehen"
"pretix/control/templates/pretixcontrol/base.html:108 pretix/control/templates/pretixcontrol/base.html:136 pretix/control/templates/pretixcontrol/base.html:137","Public profile","Öffentliche Ansicht"
"pretix/control/templates/pretixcontrol/base.html:125 pretix/control/templates/pretixcontrol/base.html:130","Go to shop","Shop aufrufen"
"pretix/control/templates/pretixcontrol/base.html:184","End admin session","Admin-Modus beenden"
"pretix/control/templates/pretixcontrol/base.html:196","Account Settings","Kontoeinstellungen"
"pretix/control/templates/pretixcontrol/base.html:201 pretix/control/templates/pretixcontrol/base.html:203","Log out","Abmelden"
"pretix/control/templates/pretixcontrol/base.html:229","Organizer account","Veranstalterkonto"
"pretix/control/templates/pretixcontrol/base.html:249","Search for events","Nach Veranstaltungen suchen"
"pretix/control/templates/pretixcontrol/base.html:300","Please leave a short comment on what you did in the following admin sessions:","Bitte hinterlassen Sie einen kurzen Kommentar, was Sie in diesen Admin-Sitzungen gemacht haben:"
"pretix/control/templates/pretixcontrol/base.html:315","You are currently working on behalf of %(user)s.","Du arbeitest derzeit im Namen von %(user)s."
"pretix/control/templates/pretixcontrol/base.html:320","Stop impersonating","Zurück zum eigenen Benutzer"
"pretix/control/templates/pretixcontrol/base.html:331","Read more","Mehr erfahren"
"pretix/control/templates/pretixcontrol/base.html:348","Your event contains <strong>test mode orders</strong> even though <strong>test mode has been disabled</strong>. You should delete those orders to make sure they do not show up in your reports and statistics and block people from actually buying tickets.","Diese Veranstaltung enthält <strong>Test-Bestellungen</strong> obwohl der <strong>Testmodus ausgeschaltet ist</strong>. Du solltest diese Bestellungen löschen, da sie ansonsten in deinen Berichten und Statistiken auftauchen und echten Ticketkäufern Plätze wegnehmen."
"pretix/control/templates/pretixcontrol/base.html:355","Show all test mode orders","Alle Testbestellungen anzeigen"
"pretix/control/templates/pretixcontrol/base.html:363","Starting with version 1.2.0, pretix automatically checks for updates in the background. During this check, anonymous data is transmitted to servers operated by pretix' developers. Click on this message to find out more, disable this feature or enter your email address to get notified via email if a new update arrives. This message will disappear once you clicked it.","Seit Version 1.2.0 prüft pretix im Hintergrund automatisch, ob es neue Versionen gibt. Während dieses Checks werden anonyme statistische Daten zu Servern übertragen, die von den pretix-Entwicklern betrieben werden. Klicke auf diese Nachricht für mehr Informationen, um diese Funktion zu deaktivieren oder um deine E-Mail-Adresse einzutragen und automatisch über neue Updates benachrichtigt zu werden. Diese Nachricht verschwindet, sobald sie einmal angeklickt wurde."
"pretix/control/templates/pretixcontrol/base.html:376","pretix is running in debug mode. For security reasons, please never run debug mode on a production instance.","pretix läuft im Debug-Modus. Bitte setze den Debug-Modus aus Sicherheitsgründen nie in einer produktiv genutzten Installation ein."
"pretix/control/templates/pretixcontrol/base.html:385","Times displayed in %(tz)s","Zeiten angezeigt in %(tz)s"
"pretix/control/templates/pretixcontrol/base.html:395","running in development mode","im Entwicklermodus"
"pretix/control/templates/pretixcontrol/base.html:405 pretix/presale/templates/pretixpresale/waiting.html:22","We are processing your request …","Wir verarbeiten deine Anfrage …"
"pretix/control/templates/pretixcontrol/base.html:407 pretix/presale/templates/pretixpresale/base.html:92 pretix/presale/templates/pretixpresale/waiting.html:25","If this takes longer than a few minutes, please contact us.","Wenn dies länger als ein paar Minuten dauert, kontaktiere uns bitte."
"pretix/control/templates/pretixcontrol/boxoffice/payment.html:4 pretix/control/templates/pretixcontrol/organizers/devices.html:45","Device ID","Geräte-ID"
"pretix/control/templates/pretixcontrol/boxoffice/payment.html:6","Receipt ID","Transaktionsnummer"
"pretix/control/templates/pretixcontrol/boxoffice/payment.html:11","Transaction Code","Transaktions-Code"
"pretix/control/templates/pretixcontrol/boxoffice/payment.html:13","Merchant Code","Händlercode"
"pretix/control/templates/pretixcontrol/boxoffice/payment.html:15 pretix/plugins/paypal/templates/pretixplugins/paypal/control.html:13 pretix/plugins/stripe/templates/pretixplugins/stripe/control.html:44","Currency","Währung"
"pretix/control/templates/pretixcontrol/boxoffice/payment.html:19 pretix/control/templates/pretixcontrol/items/questions.html:33","Type","Typ"
"pretix/control/templates/pretixcontrol/boxoffice/payment.html:21","Card Entry Mode","Art der Karteneingabe"
"pretix/control/templates/pretixcontrol/boxoffice/payment.html:23 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_confirm.html:10 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form.html:21 pretix/plugins/stripe/templates/pretixplugins/stripe/checkout_payment_form_stripe_checkout.html:16 pretix/plugins/stripe/templates/pretixplugins/stripe/control.html:13","Card number","Kreditkartennummer"
"pretix/control/templates/pretixcontrol/checkin/index.html:7 pretix/control/templates/pretixcontrol/checkin/index.html:11 pretix/control/templates/pretixcontrol/checkin/list_edit.html:6 pretix/control/templates/pretixcontrol/checkin/list_edit.html:13","Check-in list: %(name)s","Check-in-Liste: %(name)s"
"pretix/control/templates/pretixcontrol/checkin/index.html:16","Edit list","Liste bearbeiten"
"pretix/control/templates/pretixcontrol/checkin/index.html:22 pretix/plugins/ticketoutputpdf/ticketoutput.py:29","PDF","PDF"
"pretix/control/templates/pretixcontrol/checkin/index.html:27","CSV","CSV"
"pretix/control/templates/pretixcontrol/checkin/index.html:44 pretix/control/templates/pretixcontrol/event/logs.html:26 pretix/control/templates/pretixcontrol/events/index.html:37 pretix/control/templates/pretixcontrol/items/question.html:37 pretix/control/templates/pretixcontrol/orders/index.html:69 pretix/control/templates/pretixcontrol/orders/refunds.html:22 pretix/control/templates/pretixcontrol/organizers/index.html:18 pretix/control/templates/pretixcontrol/search/orders.html:27 pretix/control/templates/pretixcontrol/subevents/index.html:41 pretix/control/templates/pretixcontrol/users/index.html:22 pretix/control/templates/pretixcontrol/vouchers/index.html:53 pretix/control/templates/pretixcontrol/waitinglist/index.html:118 pretix/plugins/banktransfer/templates/pretixplugins/banktransfer/import_form.html:65","Filter","Filter"
"pretix/control/templates/pretixcontrol/checkin/index.html:52","No attendee record was found.","Keine passenden Teilnehmer*innen gefunden."
"pretix/control/templates/pretixcontrol/checkin/index.html:73","Ticket code","Ticket-Code"
"pretix/control/templates/pretixcontrol/checkin/index.html:76 pretix/control/templates/pretixcontrol/user/staff_session_edit.html:29","Timestamp","Zeitpunkt"
"pretix/control/templates/pretixcontrol/checkin/index.html:91","unpaid","unbezahlt"
"pretix/control/templates/pretixcontrol/checkin/index.html:136","Check-In selected attendees","Ausgewählte Personen einchecken"
"pretix/control/templates/pretixcontrol/checkin/index.html:139","Revert selected check-ins","Ausgewählte Check-ins löschen"
"pretix/control/templates/pretixcontrol/checkin/list_delete.html:4 pretix/control/templates/pretixcontrol/checkin/list_delete.html:6","Delete check-in list","Check-in-Liste löschen"
"pretix/control/templates/pretixcontrol/checkin/list_delete.html:9","Are you sure you want to delete the check-in list <strong>%(name)s</strong>?","Möchtest du die Check-in-Liste <strong>%(name)s</strong> wirklich löschen?"
"pretix/control/templates/pretixcontrol/checkin/list_delete.html:11","This will delete the information of <strong>%(num)s</strong> check-ins as well.","Dies löscht auch die <strong>%(num)s</strong> gespeicherten Check-ins."
"pretix/control/templates/pretixcontrol/checkin/list_delete.html:18 pretix/control/templates/pretixcontrol/event/tax_delete.html:17 pretix/control/templates/pretixcontrol/item/delete.html:11 pretix/control/templates/pretixcontrol/item/delete.html:25 pretix/control/templates/pretixcontrol/items/category_delete.html:14 pretix/control/templates/pretixcontrol/items/question_delete.html:18 pretix/control/templates/pretixcontrol/items/quota_delete.html:18 pretix/control/templates/pretixcontrol/oauth/app_delete.html:12 pretix/control/templates/pretixcontrol/oauth/app_rollkeys.html:12 pretix/control/templates/pretixcontrol/oauth/auth_revoke.html:12 pretix/control/templates/pretixcontrol/order/change.html:211 pretix/control/templates/pretixcontrol/order/change_contact.html:25 pretix/control/templates/pretixcontrol/order/change_locale.html:30 pretix/control/templates/pretixcontrol/order/change_questions.html:65 pretix/control/templates/pretixcontrol/order/extend.html:25 pretix/control/templates/pretixcontrol/order/pay.html:32 pretix/control/templates/pretixcontrol/order/pay_complete.html:28 pretix/control/templates/pretixcontrol/order/refund_choose.html:134 pretix/control/templates/pretixcontrol/order/refund_done.html:26 pretix/control/templates/pretixcontrol/order/refund_process.html:47 pretix/control/templates/pretixcontrol/order/refund_start.html:51 pretix/control/templates/pretixcontrol/orders/refunds.html:80 pretix/control/templates/pretixcontrol/organizers/device_revoke.html:21 pretix/control/templates/pretixcontrol/organizers/team_delete.html:10 pretix/control/templates/pretixcontrol/organizers/team_delete.html:21 pretix/control/templates/pretixcontrol/pdf/index.html:75 pretix/control/templates/pretixcontrol/subevents/delete.html:12 pretix/control/templates/pretixcontrol/subevents/delete_bulk.html:34 pretix/control/templates/pretixcontrol/user/2fa_delete.html:18 pretix/control/templates/pretixcontrol/user/2fa_disable.html:17 pretix/control/templates/pretixcontrol/user/2fa_enable.html:18 pretix/control/templates/pretixcontrol/user/2fa_regenemergency.html:17 pretix/control/templates/pretixcontrol/vouchers/delete.html:12 pretix/control/templates/pretixcontrol/vouchers/delete_bulk.html:33 pretix/control/templates/pretixcontrol/waitinglist/delete.html:12 pretix/plugins/badges/templates/pretixplugins/badges/delete.html:13 pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/delete.html:13 pretix/presale/templates/pretixpresale/event/order_modify.html:79 pretix/presale/templates/pretixpresale/event/order_pay.html:22 pretix/presale/templates/pretixpresale/event/order_pay_change.html:52 pretix/presale/templates/pretixpresale/event/order_pay_confirm.html:40","Cancel","Abbrechen"
"pretix/control/templates/pretixcontrol/checkin/list_delete.html:21 pretix/control/templates/pretixcontrol/event/delete.html:36 pretix/control/templates/pretixcontrol/event/tax_delete.html:21 pretix/control/templates/pretixcontrol/item/delete.html:28 pretix/control/templates/pretixcontrol/items/category_delete.html:17 pretix/control/templates/pretixcontrol/items/question_delete.html:21 pretix/control/templates/pretixcontrol/items/quota_delete.html:21 pretix/control/templates/pretixcontrol/order/index.html:34 pretix/control/templates/pretixcontrol/organizers/delete.html:30 pretix/control/templates/pretixcontrol/organizers/team_delete.html:24 pretix/control/templates/pretixcontrol/pdf/index.html:165 pretix/control/templates/pretixcontrol/subevents/delete.html:15 pretix/control/templates/pretixcontrol/subevents/delete_bulk.html:37 pretix/control/templates/pretixcontrol/user/2fa_delete.html:21 pretix/control/templates/pretixcontrol/vouchers/delete.html:15 pretix/control/templates/pretixcontrol/vouchers/delete_bulk.html:36 pretix/control/templates/pretixcontrol/waitinglist/delete.html:15 pretix/plugins/badges/templates/pretixplugins/badges/delete.html:16 pretix/plugins/ticketoutputpdf/templates/pretixplugins/ticketoutputpdf/delete.html:16","Delete","Löschen"
"pretix/control/templates/pretixcontrol/checkin/list_edit.html:8 pretix/control/templates/pretixcontrol/checkin/list_edit.html:15 pretix/plugins/checkinlists/exporters.py:36 pretix/plugins/checkinlists/exporters.py:81 pretix/plugins/checkinlists/exporters.py:280 pretix/plugins/pretixdroid/forms.py:32 pretix/plugins/pretixdroid/models.py:24 pretix/plugins/pretixdroid/templates/pretixplugins/pretixdroid/configuration.html:51","Check-in list","Check-in-Liste"
"pretix/control/templates/pretixcontrol/checkin/list_edit.html:21 pretix/control/templates/pretixcontrol/event/settings.html:10 pretix/control/templates/pretixcontrol/events/create_basics.html:6 pretix/control/templates/pretixcontrol/item/base.html:10 pretix/control/templates/pretixcontrol/item/create.html:11 pretix/control/templates/pretixcontrol/item/index.html:10 pretix/control/templates/pretixcontrol/items/category.html:13 pretix/control/templates/pretixcontrol/items/question_edit.html:22 pretix/control/templates/pretixcontrol/items/quota_edit.html:21 pretix/control/templates/pretixcontrol/organizers/create.html:11 pretix/control/templates/pretixcontrol/organizers/edit.html:20 pretix/control/templates/pretixcontrol/organizers/team_edit.html:19 pretix/control/templates/pretixcontrol/subevents/bulk.html:264 pretix/control/templates/pretixcontrol/subevents/detail.html:22","General information","Allgemeine Informationen"
"pretix/control/templates/pretixcontrol/checkin/list_edit.html:29","Please select the products that should be part of this check-in list.","Bitte wähle die Produkte aus, die Teil dieser Check-in-Liste sein sollen."
"pretix/control/templates/pretixcontrol/checkin/lists.html:7","You can create check-in lists that you can use e.g. at the entrance of your event to track who is coming and if they actually bought a ticket. You can do this process by printing out the list on paper, using this web interface or by using one of our mobile or desktop apps to automatically scan tickets.","Du kannst Check-in-Listen erzeugen, um z.B. am Einlass deiner Veranstaltung zu kontrollieren, ob jeder Besucher ein gültiges Ticket hat. Hierzu kannst du die Listen auf Papier ausdrucken, dieses Online-Interface benutzen oder eine unserer mobilen oder Desktop-Apps nutzen, um die Tickets automatisch zu scannen."
"pretix/control/templates/pretixcontrol/checkin/lists.html:14","You can create multiple check-in lists to separate multiple parts of your event, for example if you have separate entries for multiple ticket types. Different check-in lists are completely independent: If a ticket shows up on two lists, it is valid once on every list. This might be useful if you run a festival with festival passes that allow access to every or multiple performances as well as tickets only valid for single performances.","Du kannst mehrere Listen erzeugen, um Teile deiner Veranstaltung getrennt voneinander zu behandeln, z.B. wenn du für verschiedene Ticket-Typen unterschiedliche Eingänge hast. Die verschiedenen Listen sind völlig unabhängig: Wenn ein Ticket auf zwei Listen auftaucht, ist es auf jeder einmal gültig. Das kann z.B. nützlich sein, wenn du ein Festival mit Dauerkarten und Einzelkarten für einzelne Vorführungen veranstaltest."
"pretix/control/templates/pretixcontrol/checkin/lists.html:33","Your search did not match any check-in lists.","Deine Filter treffen auf keine Check-in-Listen zu."
"pretix/control/templates/pretixcontrol/checkin/lists.html:35","You haven't created any check-in lists yet.","Du hast noch keine Check-in-Liste erstellt."
"pretix/control/templates/pretixcontrol/checkin/lists.html:44 pretix/control/templates/pretixcontrol/checkin/lists.html:50","Create a new check-in list","Neue Check-in-Liste erstellen"
"pretix/control/templates/pretixcontrol/dashboard.html:9","Go to event","Veranstaltung aufrufen"
"pretix/control/templates/pretixcontrol/dashboard.html:15","Your upcoming events","Deine nächsten Veranstaltungen"
"pretix/control/templates/pretixcontrol/dashboard.html:19 pretix/control/templates/pretixcontrol/events/create_base.html:4 pretix/control/templates/pretixcontrol/events/create_base.html:6 pretix/control/templates/pretixcontrol/events/index.html:19 pretix/control/templates/pretixcontrol/events/index.html:45 pretix/control/templates/pretixcontrol/organizers/detail.html:12","Create a new event","Neue Veranstaltung erstellen"
"pretix/control/templates/pretixcontrol/dashboard.html:33","View all upcoming events","Alle nächsten Veranstaltungen zeigen"
"pretix/control/templates/pretixcontrol/dashboard.html:38","Your most recent events","Deine letzten Veranstaltungen"
"pretix/control/templates/pretixcontrol/dashboard.html:50","View all recent events","Alle vergangenen Veranstaltungen zeigen"
"pretix/control/templates/pretixcontrol/dashboard.html:55","Your event series","Deine Veranstaltungsreihen"
"pretix/control/templates/pretixcontrol/dashboard.html:67","View all event series","Alle Veranstaltungsreihen zeigen"
"pretix/control/templates/pretixcontrol/dashboard.html:72","Other features","Andere Funktionen"
"pretix/control/templates/pretixcontrol/email/forgot.txt:1","Hello,

you requested a new password. Please go to the following page to reset your password:

%(url)s

Best regards,
Your pretix team
","Hallo,

du hast ein neues Passwort angefordert. Bitte besuche die folgende Seite, um das Passwort zurückzusetzen:

%(url)s

Viele Grüße,
Dein pretix Team
"
"pretix/control/templates/pretixcontrol/email/invitation.txt:1","Hello,

you have been invited to a team on pretix, a platform to perform event
ticket sales.

Organizer: %(organizer)s
Team: %(team)s

If you want to join that team, just click on the following link:
%(url)s

If you do not want to join, you can safely ignore or delete this email.

Best regards,

Your pretix team
","Hallo,

du wurdest in das Team eines Veranstalters auf pretix eingeladen, einer Plattform zum
Verkaufen von Veranstaltungstickets.

Veranstalter: %(organizer)s

Team: %(team)s

Wenn du dem Team beitreten möchtest, klicke einfach auf den folgenden Link:
%(url)s

Wenn du dies nicht möchtest, kannst du diese Mail problemlos ignorieren
oder löschen.

Viele Grüße

Das pretix-Team
"
"pretix/control/templates/pretixcontrol/email/security_notice.txt:1","Hello,

this is to inform you that the account information of your pretix account has been
changed. In particular, the following changes have been performed:

%(messages)s

If this change was not performed by you, please contact us immediately.


You can review and change your account settings here:

%(url)s

Best regards,
Your pretix team
","Hallo,

die Einstellungen deines pretix-Kontos wurden verändert. Es wurden die folgenden Änderungen
vorgenommen:

%(messages)s

Wenn diese Änderung nicht von dir vorgenommen wurden, kontaktiere uns bitte unverzüglich.

Du kannst deine Kontoeinstellungen hier einsehen und verändern:

%(url)s

Viele Grüße
Dein pretix-Team
"
"pretix/control/templates/pretixcontrol/event/actions.html:3 pretix/control/templates/pretixcontrol/event/actions.html:5","Current issues","Aktuelle Probleme"
"pretix/control/templates/pretixcontrol/event/actions.html:12 pretix/control/templates/pretixcontrol/event/index.html:70","Hide message","Löschen"
"pretix/control/templates/pretixcontrol/event/actions.html:20","No issues. Awesome!","Keine Probleme. Super!"
"pretix/control/templates/pretixcontrol/event/cancel.html:5","Cancellation settings","Storno-Einstellungen"
"pretix/control/templates/pretixcontrol/event/cancel.html:10","Cancellation of unpaid or free orders","Stornierung von ausstehenden oder kostenlosen Bestellungen"
"pretix/control/templates/pretixcontrol/event/cancel.html:15","Cancellation of paid orders","Stornierung von bezahlten Bestellungen"
"pretix/control/templates/pretixcontrol/event/cancel.html:23","If a user requests cancels a paid order and the money can not be refunded automatically, e.g. due to the selected payment method, you will need to take manual action. However, you have currently turned off notifications for this event.","Wenn ein Nutzer eine bezahlte Bestellung storniert und das Geld nicht automatisch zurückerstattet werden kann, musst du aktiv werden. Die entsprechenden Benachrichtigungen hast du allerdings derzeit deaktiviert."
"pretix/control/templates/pretixcontrol/event/cancel.html:29 pretix/control/templates/pretixcontrol/user/settings.html:29","Change notification settings","Benachrichtigungs-Einstellungen ändern"
"pretix/control/templates/pretixcontrol/event/delete.html:5 pretix/control/templates/pretixcontrol/event/settings.html:86","Delete event","Veranstaltung löschen"
"pretix/control/templates/pretixcontrol/event/delete.html:9","This operation will destroy your event including all configuration, products, quotas, questions, vouchers, lists, etc.","Dies wird deine Veranstaltung inklusive aller Konfiguration, Produkte, Kontingente, Fragen, Gutscheine, Listen, etc. entfernen."
"pretix/control/templates/pretixcontrol/event/delete.html:15 pretix/control/templates/pretixcontrol/organizers/delete.html:15","This operation is irreversible and there is no way to bring your data back.","Dies ist nicht reversibel und die Daten können nicht wiederhergestellt werden."
"pretix/control/templates/pretixcontrol/event/delete.html:22","To confirm you really want this, please type out the event's short name (""%(slug)s"") here:","Um zu bestätigen, dass du das wirklich möchtest, tippe bitte den Kurznamen der Veranstaltung (""%(slug)s"") hier ein:"
"pretix/control/templates/pretixcontrol/event/delete.html:28","Also, to make sure it's really you, please enter your user password here:","Um sicher zu gehen, dass es wirklich du bist, gib bitte außerdem dein Passwort ein:"
"pretix/control/templates/pretixcontrol/event/delete.html:42","Your event can not be deleted as it already contains orders.","Diese Veranstaltung kann nicht gelöscht werden, da sie bereits Bestellungen enthält."
"pretix/control/templates/pretixcontrol/event/delete.html:45 pretix/control/templates/pretixcontrol/organizers/delete.html:39","pretix does not allow deleting orders once they have been placed in order to be audit-proof and trustable by financial authorities.","pretix erlaubt es nicht, Bestellungen zu löschen nachdem diese einmal angelegt wurden, um Revisionssicherheit zu gewährleisten und rechtlichen Rahmenbedingungen zu genügen."
"pretix/control/templates/pretixcontrol/event/delete.html:52","You can instead take your shop offline. This will hide it from everyone except from the organizer teams you configured to have access to the event.","Du kannst stattdessen den Ticket-Shop abschalten. Dies wird die Veranstaltung vor allen außer den zugewiesenen Veranstalter-Teams verstecken."
"pretix/control/templates/pretixcontrol/event/delete.html:62 pretix/control/templates/pretixcontrol/event/delete.html:76 pretix/control/templates/pretixcontrol/event/settings.html:91","Delete personal data","Personenbezogene Daten löschen"
"pretix/control/templates/pretixcontrol/event/delete.html:66 pretix/control/templates/pretixcontrol/event/live.html:19","Go offline","Shop ausschalten"
"pretix/control/templates/pretixcontrol/event/delete.html:72","However, since your shop is offline, it is only visible to the organizing team according to the permissions you configured.","Da dein Shop bereits offline ist, ist die Veranstaltung allerdings nur für die zugewiesenen Veranstalter-Teams sichtbar."
"pretix/control/templates/pretixcontrol/event/display.html:6 pretix/control/templates/pretixcontrol/event/settings.html:41 pretix/control/templates/pretixcontrol/events/create_basics.html:44 pretix/control/templates/pretixcontrol/organizers/display.html:5","Display settings","Anzeigeeinstellungen"
"pretix/control/templates/pretixcontrol/event/display.html:11","Event page","Veranstaltungsseite"
"pretix/control/templates/pretixcontrol/event/display.html:24 pretix/control/templates/pretixcontrol/organizers/display.html:19","Shop design","Shop-Design"
"pretix/control/templates/pretixcontrol/event/index.html:20","This event contains <strong>overpaid orders</strong>, for example due to duplicate payment attempts. You should review the cases and consider refunding the overpaid amount to the user.","Diese Veranstaltung enthält <strong>überzahlte Bestellungen</strong>, z.B. durch doppelte Zahlungsversuche. Du solltest dir diese Fälle genau anschauen und ggf. den zuviel bezahlten Betrag an den Kunden zurückerstatten."
"pretix/control/templates/pretixcontrol/event/index.html:25","Show overpaid orders","Überzahlte Bestellungen anzeigen"
"pretix/control/templates/pretixcontrol/event/index.html:30","This event contains <strong>pending refunds</strong> that you should take care of.","Diese Veranstaltung enthält <strong>ausstehende Erstattungen</strong>, um die du dich kümmern solltest."
"pretix/control/templates/pretixcontrol/event/index.html:34","Show pending refunds","Ausstehende Erstattungen anzeigen"
"pretix/control/templates/pretixcontrol/event/index.html:39","This event contains <strong>pending approvals</strong> that you should take care of.","Diese Veranstaltung enthält <strong>Bestellungen, die auf Freigabe warten</strong>."
"pretix/control/templates/pretixcontrol/event/index.html:43","Show orders pending approval","Alle Bestellungen ohne Freigabe"
"pretix/control/templates/pretixcontrol/event/index.html:48","This event contains <strong>fully paid orders</strong> that are not marked as paid, probably because no quota was left at the time their payment arrived. You should review the cases and consider either refunding the customer or creating more space.","Diese Veranstaltung enthält <strong>voll bezahlte Bestellungen</strong>, die trotzdem nicht als bezahlt markiert sind. Vermutlich ging die Zahlung verspätet ein und bei Zahlungseingang war kein Kontingent mehr frei. Du solltest dir diese Fälle genau anschauen und entweder die Bestellung bestätigen oder den bezahlten Betrag an den Kunden zurückerstatten."
"pretix/control/templates/pretixcontrol/event/index.html:54","Show affected orders","Betroffene Bestellungen anzeigen"
"pretix/control/templates/pretixcontrol/event/index.html:61","Your attention is required to resolve the following issues","Die folgenden Probleme erfordern deine Aufmerksamkeit"
"pretix/control/templates/pretixcontrol/event/index.html:82","Show more","Mehr anzeigen"
"pretix/control/templates/pretixcontrol/event/index.html:130 pretix/control/templates/pretixcontrol/order/index.html:687","Update comment","Kommentar speichern"
"pretix/control/templates/pretixcontrol/event/index.html:139 pretix/control/templates/pretixcontrol/event/logs.html:4 pretix/control/templates/pretixcontrol/event/logs.html:6","Event logs","Veranstaltungs-Protokoll"
"pretix/control/templates/pretixcontrol/event/index.html:151 pretix/control/templates/pretixcontrol/event/logs.html:39 pretix/control/templates/pretixcontrol/includes/logs.html:32","Personal data was cleared from this log entry.","Personenbezogene Daten wurden von diesem Eintrag entfernt."
"pretix/control/templates/pretixcontrol/event/index.html:160 pretix/control/templates/pretixcontrol/event/logs.html:48 pretix/control/templates/pretixcontrol/includes/logs.html:12","This change was performed by a pretix administrator.","Diese Änderung wurde von einem Administrator durchgeführt."
"pretix/control/templates/pretixcontrol/event/index.html:188 pretix/control/templates/pretixcontrol/event/logs.html:76 pretix/control/templates/pretixcontrol/includes/logs.html:42 pretix/control/templates/pretixcontrol/order/index.html:498 pretix/control/templates/pretixcontrol/order/index.html:510 pretix/control/templates/pretixcontrol/order/index.html:604","Inspect","Details"
"pretix/control/templates/pretixcontrol/event/index.html:198","Show more logs","Mehr Protokolle anzeigen"
"pretix/control/templates/pretixcontrol/event/invoicing.html:5","Invoice settings","Rechnungseinstellungen"
"pretix/control/templates/pretixcontrol/event/invoicing.html:10 pretix/control/templates/pretixcontrol/event/mail.html:12 pretix/control/templates/pretixcontrol/event/settings.html:5 pretix/control/templates/pretixcontrol/user/settings.html:11","General settings","Allgemeine Einstellungen"
"pretix/control/templates/pretixcontrol/event/invoicing.html:20","Invoice address form","Adressformular"
"pretix/control/templates/pretixcontrol/event/invoicing.html:30","Your invoice details","Ihre Rechnungsangaben"
"pretix/control/templates/pretixcontrol/event/invoicing.html:40","Invoice customization","Anpassung der Rechnungen"
"pretix/control/templates/pretixcontrol/event/invoicing.html:50","Save and show preview","Speichern und Vorschau zeigen"
"pretix/control/templates/pretixcontrol/event/live.html:5","Shop status","Shop-Status"
"pretix/control/templates/pretixcontrol/event/live.html:8","Shop visibility","Shop-Sichtbarkeit"
"pretix/control/templates/pretixcontrol/event/live.html:13","Your shop is currently live. If you take it down, it will only be visible to you and your team.","Dein Shop ist aktuell öffentlich verfügbar. Wenn du ihn ausschaltest, ist er nur für dich und dein Team sichtbar."
"pretix/control/templates/pretixcontrol/event/live.html:25 pretix/control/templates/pretixcontrol/event/live.html:44","Your ticket shop is currently not live. It is thus only visible to you and your team, not to any visitors.","Dein Ticket-Shop ist zur Zeit offline und daher nur für dich und dein Team verfügbar und nicht für Besucher."
"pretix/control/templates/pretixcontrol/event/live.html:29","To publish your ticket shop, you first need to resolve the following issues:","Um deinen Ticket-Shop zu veröffentlichen, musst du zuerst die folgenden Probleme beheben:"
"pretix/control/templates/pretixcontrol/event/live.html:39 pretix/control/templates/pretixcontrol/event/live.html:53","Go live","Shop veröffentlichen"
"pretix/control/templates/pretixcontrol/event/live.html:47","If you want to, you can publish your ticket shop now.","Du kannst deinen Ticket-Shop jederzeit veröffentlichen."
"pretix/control/templates/pretixcontrol/event/live.html:71","Your shop is currently in test mode. All orders are not persistant and can be deleted at any point.","Dein Shop ist momentan im Testmodus. Alle Bestellungen werden nicht dauerhaft getätigt sondern können jederzeit gelöscht werden."
"pretix/control/templates/pretixcontrol/event/live.html:76","Permanently delete all orders created in test mode","Alle im Testmodus erstellten Bestellungen unwiderruflich löschen"
"pretix/control/templates/pretixcontrol/event/live.html:81","Disable test mode","Testmodus deaktivieren"
"pretix/control/templates/pretixcontrol/event/live.html:87","Your shop is currently in production mode.","Dein Shop ist im Produktivmodus."
"pretix/control/templates/pretixcontrol/event/live.html:90","If you want to do some test orders, you can enable test mode for your shop. As long as the shop is in test mode, all orders that are created are marked as test orders and can be deleted again.","Wenn du zum Test Bestellungen tätigen willst, kannst du den Testmodus für deinen Shop aktivieren. Solange der Shop im Testmodus ist, werden alle Bestellungen als Testbestellungen markiert und können wieder gelöscht werden."
"pretix/control/templates/pretixcontrol/event/live.html:92","Please note that test orders still count into your quotas, actually use vouchers and might perform actual payments. The only difference is that you can delete test orders. Use at your own risk!","Bitte beachte, dass diese Bestellungen nach wie vor von deinen Kontingenten abgehen, Gutscheine verbrauchen und echte Zahlungen hervorrufen können. Der einzige Unterschied besteht darin, dass Testbestellungen wieder gelöscht werden können. Benutzung auf eigene Gefahr!"
"pretix/control/templates/pretixcontrol/event/live.html:96","Also, test mode only covers the main web shop. Orders created through other sales channels such as the box office or resellers module are still created as production orders.","Der Testmodus betrifft nur den Web-Ticketshop. Verkäufe auf anderen Kanälen wie durch Vorverkaufsstellen und Kassensoftware werden nach wie vor unlöschbar erstellt."
"pretix/control/templates/pretixcontrol/event/live.html:100","It looks like you already have some real orders in your shop. We do not recommend enabling test mode if your customers already know your shop, as it will confuse them.","Es sieht aus, als würde dein Ticketshop bereits echte Bestellungen enthalten. Wir raten davon ab, den Testmodus zu aktivieren, nachdem bereits echte Kunden auf deinen Shop aufmerksam geworden sind, das führt vermutlich zu Verwirrung."
